name,solved,type,objval,runtime,gap,Z1,Z2,Z3,Z4,Z5,SObjVal,SZ1,SZ2,SZ3,SZ4,SZ5
I3_N5_M2_T15_C100_DepCentral_s0,True,P1,858.3977085871632,0.003999948501586914,0.0,18.397708587163148,4.537147384845644,4.537147384845644,544.0,296.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s0,True,P2,858.2128833321004,0.003000020980834961,0.0,18.397708587163148,4.02175110787769,3.836925852814985,760.0,80.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s0,True,P3,858.3977085871632,0.003000020980834961,0.0,18.397708587163148,4.537147384845644,4.537147384845644,544.0,296.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s0,True,P4,858.2128833321004,0.002000093460083008,0.0,18.397708587163148,4.02175110787769,3.836925852814985,760.0,80.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s0,True,P5,858.2128833321004,0.003999948501586914,0.0,18.397708587163148,4.02175110787769,3.836925852814985,760.0,80.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s0,True,P6,859.2572574679346,0.0029997825622558594,0.0,19.257257467934643,4.8053059434818675,4.8053059434818675,540.0,300.0,823.9011839847824,20.57702921450956,5.133246728429233,2.457401498702064,726,80
I3_N5_M2_T15_C100_DepCentral_s1,True,P1,839.9596863901648,0.003000020980834961,0.0,23.95968639016486,6.826797411504206,6.826797411504206,504.0,312.0,839.9596863901648,23.95968639016486,0.0,0.0,504,312
I3_N5_M2_T15_C100_DepCentral_s1,True,P2,839.9596863901648,0.003000020980834961,0.0,23.95968639016486,6.826797411504206,6.826797411504206,504.0,312.0,839.9596863901648,23.95968639016486,0.0,0.0,504,312
I3_N5_M2_T15_C100_DepCentral_s1,True,P3,839.9596863901648,0.003000020980834961,0.0,23.95968639016486,6.826797411504206,6.826797411504206,504.0,312.0,839.9596863901648,23.95968639016486,0.0,0.0,504,312
I3_N5_M2_T15_C100_DepCentral_s1,True,P4,839.9596863901648,0.0029997825622558594,0.0,23.95968639016486,6.826797411504206,6.826797411504206,504.0,312.0,839.9596863901648,23.95968639016486,0.0,0.0,504,312
