name,solved,type,objval,runtime_p,gap_p,Z1_p,Z2_p,Z3_p,Z4_p,Z5_p,FixObjVal,FixGAP,FixZ1,FixZ2,FixZ3,FixZ4,FixZ5
I3_N5_M3_T15_C250_DepCentral_s2,True,P1,22.714365082849028,0.023999929428100586,0.0,22.71436508284903,0.0,0.0,0.0,0.0,1448.706851280948,0.0,22.71436508284903,1.9241942656193993,1.9166804637184574,1206.0,220.0
I3_N5_M3_T15_C250_DepCentral_s2,True,P2,10000032.107854187,0.029999971389770508,0.0,32.10785418691139,0.0,0.0,0.0,0.0,414.10785418691137,0.0,32.10785418691139,0.0,0.0,2.0,380.0
I3_N5_M3_T15_C250_DepCentral_s2,True,P3,29.7290434521012,0.02200007438659668,0.0,29.7290434521012,0.0,0.0,0.0,0.0,271.72904345210117,0.0,29.7290434521012,0.0,0.0,48.0,194.0
I3_N5_M3_T15_C250_DepCentral_s2,True,P4,110000032.09663156,0.04400014877319336,1.354650622352315e-16,32.10785418691139,0.0,0.0,0.0,0.0,414.10785418691137,0.0,32.10785418691139,0.0,0.0,2.0,380.0
I3_N5_M3_T15_C250_DepCentral_s2,True,P5,29.7290434521012,0.01699995994567871,0.0,29.7290434521012,0.0,0.0,0.0,0.0,297.7290434521012,0.0,29.7290434521012,0.0,0.0,48.0,220.0
I3_N5_M3_T15_C250_DepCentral_s2,True,P6,1.530273521130702,0.0280001163482666,0.0,1.5302735211307024,0.0,0.0,0.0,0.0,399.7290434521012,0.0,29.7290434521012,0.0,0.0,0.0,370.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P1,22.73074255039767,0.03299999237060547,0.0,22.73074255039767,0.0,0.0,0.0,0.0,954.7307425503977,0.0,22.73074255039767,0.0,0.0,92.0,840.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P2,32.30303952959039,0.039999961853027344,0.0,32.30303952959039,0.0,0.0,0.0,0.0,498.3030395295904,0.0,32.30303952959039,0.0,0.0,0.0,466.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P3,22.73074255039767,0.0280001163482666,0.0,22.73074255039767,0.0,0.0,0.0,0.0,858.7307425503977,0.0,22.73074255039767,0.0,0.0,166.0,670.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P4,32.30303952959039,0.0279998779296875,0.0,32.30303952959039,0.0,0.0,0.0,0.0,792.3030395295905,0.0,32.30303952959039,0.0,0.0,0.0,760.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P5,32.727466669012315,0.026999950408935547,0.0,32.72746666901232,0.0,0.0,0.0,0.0,702.7274666690123,0.0,32.72746666901232,0.0,0.0,0.0,670.0
I3_N5_M3_T15_C250_DepCentral_s4,True,P6,1.6355376607897072,0.03400015830993652,0.0,1.6355376607897074,0.0,0.0,0.0,0.0,584.5120426959606,0.0,28.512042695960684,0.0,0.0,0.0,556.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P1,24.770746325555336,0.04200005531311035,0.0,24.770746325555336,0.0,0.0,0.0,0.0,3716.8996596817306,0.0,24.770746325555336,15.232502135084523,9.361415491259855,3162.0,536.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P2,146000055.69225112,0.11500000953674316,0.0,55.69225111188039,0.0,0.0,0.0,0.0,1065.6922511118805,0.0,55.69225111188039,4.342239053760168,4.342239053760168,724.0,286.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P3,55.692251111880395,0.057000160217285156,0.0,55.692251111880395,0.0,0.0,0.0,0.0,1107.6922511118803,0.0,55.692251111880395,1.037400597647794,1.037400597647794,580.0,472.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P4,206000055.69225112,0.10599994659423828,0.0,55.692251111880395,0.0,0.0,0.0,0.0,1107.6922511118805,0.0,55.692251111880395,4.342239053760168,4.342239053760168,580.0,472.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P5,88000053.55713987,0.04999995231628418,0.0,53.557139876539416,0.0,0.0,0.0,0.0,1029.5571398765394,0.0,53.557139876539416,4.342239053760168,4.342239053760168,504.0,472.0
I3_N5_M3_T30_C150_DepLowerLeft_s0,True,P6,0.9030599460708986,0.029999971389770508,0.0,0.9030599460708986,0.0,0.0,0.0,0.0,1435.5973708739725,0.0,51.59737087397254,9.361415491259855,9.361415491259855,508.0,876.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P1,17.057683967537116,0.019999980926513672,0.0,17.057683967537116,0.0,0.0,0.0,0.0,3210.718352253818,0.0,17.057683967537116,7.908099007898997,3.568767294178761,2416.0,782.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P2,22.776602714907085,0.029000043869018555,0.0,22.776602714907085,0.0,0.0,0.0,0.0,170.77660271490709,0.0,22.776602714907085,0.48419004533344145,0.48419004533344145,148.0,0.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P3,21.917053834135594,0.026000022888183594,0.0,21.91705383413559,0.0,0.0,0.0,0.0,223.91705383413557,0.0,21.91705383413559,0.0,0.0,202.0,0.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P4,26000025.458554573,0.04400014877319336,0.0,25.45855457449484,0.0,0.0,0.0,0.0,113.45855457449484,0.0,25.45855457449484,0.0,0.0,88.0,0.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P5,21.91705383413559,0.020999908447265625,0.0,21.91705383413559,0.0,0.0,0.0,0.0,223.9170538341356,0.0,21.91705383413559,0.48419004533344145,0.48419004533344145,202.0,0.0
I3_N5_M3_T30_C200_DepCentral_s0,True,P6,3.1602478102019997,0.026000022888183594,0.0,3.1602478102019997,0.0,0.0,0.0,0.0,436.7430844381168,0.0,22.743084438116806,3.568767294178761,3.568767294178761,306.0,108.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P1,19.854852075869324,0.029999971389770508,0.0,19.854852075869317,0.0,0.0,0.0,0.0,3949.622662923392,0.0,19.854852075869317,15.954122579206956,3.7219334267292976,3384.0,558.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P2,124000032.78929375,0.09399986267089844,0.0,32.963800968105325,0.0,0.0,0.0,0.0,668.9638009681053,0.0,32.963800968105325,4.989498466761168,4.989498466761168,526.0,110.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P3,24000032.963800967,0.04199981689453125,2.8223479610592135e-07,32.963800968105325,0.0,0.0,0.0,0.0,704.9638009681053,0.0,32.963800968105325,5.033760881737093,5.033760881737093,466.0,206.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P4,204000032.802001,0.08599996566772461,0.0,32.80200100338062,0.0,0.0,0.0,0.0,730.8020010033807,0.0,32.80200100338062,5.558725642459182,5.558725642459182,492.0,206.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P5,12000032.963800967,0.02200007438659668,0.0,32.963800968105325,0.0,0.0,0.0,0.0,704.9638009681053,0.0,32.963800968105325,5.033760881737093,5.033760881737093,466.0,206.0
I3_N5_M3_T30_C200_DepCentral_s3,True,P6,1.801106731862789,0.0280001163482666,0.0,1.8011067318627891,0.0,0.0,0.0,0.0,695.5118171894031,0.0,29.511817189403185,8.981385860719614,8.981385860719614,394.0,272.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P1,24.770746325555336,0.046000003814697266,0.0,24.770746325555336,0.0,0.0,0.0,0.0,3220.157700969667,0.0,24.770746325555336,12.900693395071741,10.287648039183278,2804.0,394.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P2,55.692251111880395,0.026000022888183594,0.0,55.69225111188039,0.0,0.0,0.0,0.0,405.6922511118804,0.0,55.69225111188039,0.0,0.0,64.0,286.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P3,51.597370873972544,0.04500007629394531,0.0,51.59737087397254,0.0,0.0,0.0,0.0,491.5973708739725,0.0,51.59737087397254,9.361415491259855,9.361415491259855,200.0,240.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P4,26000058.374202974,0.05200004577636719,9.129376501039264e-12,58.374202971468144,0.0,0.0,0.0,0.0,468.37420297146815,0.0,58.374202971468144,0.0,0.0,16.0,394.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P5,52.89947500159131,0.0279998779296875,0.0,52.89947500159132,0.0,0.0,0.0,0.0,694.8994750015913,0.0,52.89947500159132,0.0,0.0,16.0,626.0
I3_N5_M3_T30_C200_DepLowerLeft_s0,True,P6,0.9030599460708986,0.029000043869018555,0.0,0.9030599460708986,0.0,0.0,0.0,0.0,767.5973708739725,0.0,51.59737087397254,9.361415491259855,9.361415491259855,136.0,580.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P1,23.65265368177027,0.03500008583068848,0.0,23.65265368177027,0.0,0.0,0.0,0.0,3956.6156534747747,0.0,23.65265368177027,15.72005340145628,6.683053194461346,2604.0,1338.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P2,124000041.38038883,0.08299994468688965,0.0,41.38038881919396,0.0,0.0,0.0,0.0,739.380388819194,0.0,41.38038881919396,3.264931852275022,3.264931852275022,352.0,346.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P3,24000041.510225218,0.06699991226196289,0.0,41.54218878391866,0.0,0.0,0.0,0.0,713.5421887839186,0.0,41.54218878391866,5.2575096766434966,5.2575096766434966,466.0,206.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P4,204000041.38038883,0.09900021553039551,0.0,41.38038881919395,0.0,0.0,0.0,0.0,739.3803888191939,0.0,41.38038881919395,4.0098319166768075,4.0098319166768075,352.0,346.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P5,12000041.542188784,0.023999929428100586,0.0,41.54218878391866,0.0,0.0,0.0,0.0,713.5421887839186,0.0,41.54218878391866,5.2575096766434966,5.2575096766434966,466.0,206.0
I3_N5_M3_T30_C200_DepLowerLeft_s3,True,P6,1.2586343297362466,0.02500009536743164,0.0,1.2586343297362466,0.0,0.0,0.0,0.0,739.3803888191939,0.0,41.38038881919395,4.0098319166768075,4.0098319166768075,352.0,346.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P1,21.545497710166416,0.051000118255615234,0.0,21.545497710166412,0.0,0.0,0.0,0.0,3730.2348142910396,0.0,21.545497710166412,13.40256137262345,8.091877953495857,3328.0,386.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P2,66000045.87819817,0.0709998607635498,1.9448259590711053e-12,45.878198169816706,0.0,0.0,0.0,0.0,419.87819816981676,0.0,45.878198169816706,6.244357452933008,6.244357452933008,374.0,0.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P3,41.1743708687662,0.02499985694885254,0.0,41.1743708687662,0.0,0.0,0.0,0.0,555.1743708687661,0.0,41.1743708687662,9.814939478317665,9.814939478317665,344.0,170.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P4,146000045.87819818,0.08800005912780762,0.0,45.878198169816706,0.0,0.0,0.0,0.0,419.87819816981676,0.0,45.878198169816706,6.244357452933008,6.244357452933008,374.0,0.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P5,2000047.016081051,0.0280001163482666,0.0,47.016081051112366,0.0,0.0,0.0,0.0,805.0160810511123,0.0,47.016081051112366,7.390082002251396,7.390082002251396,264.0,494.0
I3_N5_M3_T30_C200_DepLowerLeft_s4,True,P6,1.214435162673092,0.026000022888183594,0.0,1.214435162673092,0.0,0.0,0.0,0.0,700.014269477353,0.0,52.01426947735296,10.960664027636053,10.960664027636053,358.0,290.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P1,17.057683967537116,0.021000146865844727,0.0,17.057683967537116,0.0,0.0,0.0,0.0,2711.5492535455487,0.0,17.057683967537116,7.130829427894735,3.6223990059060056,2246.0,452.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P2,19.8873981872152,0.023000001907348633,0.0,19.8873981872152,0.0,0.0,0.0,0.0,139.88739818721518,0.0,19.8873981872152,2.141260376507257,2.141260376507257,120.0,0.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P3,19.363052270533316,0.026999950408935547,0.0,19.36305227053332,0.0,0.0,0.0,0.0,337.3630522705333,0.0,19.36305227053332,3.1511549227606364,3.1511549227606364,318.0,0.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P4,21.91705383413559,0.029000043869018555,0.0,21.91705383413559,0.0,0.0,0.0,0.0,21.91705383413559,0.0,21.91705383413559,0.0,0.0,0.0,0.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P5,19.86873046594926,0.020999908447265625,0.0,19.86873046594926,0.0,0.0,0.0,0.0,337.8687304659493,0.0,19.86873046594926,4.238915693022757,4.238915693022757,318.0,0.0
I3_N5_M3_T30_C250_DepCentral_s0,True,P6,3.1602478102019997,0.04900002479553223,0.0,3.1602478102019997,0.0,0.0,0.0,0.0,22.743084438116806,0.0,22.743084438116806,0.0,0.0,0.0,0.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P1,24.770746325555336,0.04399991035461426,0.0,24.770746325555336,0.0,0.0,0.0,0.0,2722.3297284949576,0.0,24.770746325555336,11.346154235063223,10.905136404465559,2162.0,536.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P2,50.44104980002316,0.046000003814697266,0.0,50.44104980002315,0.0,0.0,0.0,0.0,552.4410498000232,0.0,50.44104980002315,0.0,0.0,26.0,476.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P3,40.44265157269915,0.07500004768371582,0.0,40.44265157269914,0.0,0.0,0.0,0.0,542.4426515726992,0.0,40.44265157269914,0.0,0.0,26.0,476.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P4,51.597370873972544,0.04400014877319336,0.0,51.59737087397254,0.0,0.0,0.0,0.0,291.5973708739725,0.0,51.59737087397254,0.0,0.0,0.0,240.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P5,40.44265157269915,0.03099989891052246,0.0,40.44265157269915,0.0,0.0,0.0,0.0,546.4426515726992,0.0,40.44265157269915,4.342239053760168,4.342239053760168,112.0,394.0
I3_N5_M3_T30_C250_DepLowerLeft_s0,True,P6,0.9030599460708986,0.032000064849853516,0.0,0.9030599460708986,0.0,0.0,0.0,0.0,631.5973708739725,0.0,51.59737087397254,0.0,0.0,0.0,580.0
